INSERT INTO registration(transaction_id,transaction_code,regis_date,student_id,promotion_id,course_id,branch_id,full_cost,discounted_cost,seat_no,note,paid_method,paid_round,paid_date,username,status,is_paid) VALUES ('11560' ,'SA151510007' ,'2015/10/08 01:00:56 ' ,'6868' ,'0' ,'341' ,'1' ,'3500' ,'3500' ,'1' ,'3224234' ,'4' ,'0' ,'2015/10/13 00:00:00 ' ,'netta' ,'0' ,'1' )
UPDATE payment SET course_id='1' ,sum_all_cost='34500' ,sum_max_payable='34500' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=1
UPDATE payment SET course_id='2' ,sum_all_cost='49000' ,sum_max_payable='49000' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=2
UPDATE payment SET course_id='3' ,sum_all_cost='0' ,sum_max_payable='0' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=3
UPDATE payment SET course_id='5' ,sum_all_cost='52200' ,sum_max_payable='52200' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=5
UPDATE payment SET course_id='9' ,sum_all_cost='120000' ,sum_max_payable='120000' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=9
UPDATE payment SET course_id='49' ,sum_all_cost='39700' ,sum_max_payable='39700' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=49
UPDATE payment SET course_id='107' ,sum_all_cost='5000' ,sum_max_payable='5000' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=107
UPDATE payment SET course_id='108' ,sum_all_cost='14500' ,sum_max_payable='14500' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=108
UPDATE payment SET course_id='109' ,sum_all_cost='5000' ,sum_max_payable='5000' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=109
UPDATE payment SET course_id='143' ,sum_all_cost='48000' ,sum_max_payable='48000' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=143
UPDATE payment SET course_id='144' ,sum_all_cost='15000' ,sum_max_payable='15000' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=144
UPDATE payment SET course_id='146' ,sum_all_cost='3000' ,sum_max_payable='3000' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=146
UPDATE payment SET course_id='147' ,sum_all_cost='108000' ,sum_max_payable='108000' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=147
UPDATE payment SET course_id='148' ,sum_all_cost='137500' ,sum_max_payable='137500' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=148
UPDATE payment SET course_id='158' ,sum_all_cost='9900' ,sum_max_payable='9900' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=158
UPDATE payment SET course_id='159' ,sum_all_cost='0' ,sum_max_payable='0' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=159
UPDATE payment SET course_id='160' ,sum_all_cost='12530' ,sum_max_payable='12530' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=160
UPDATE payment SET course_id='161' ,sum_all_cost='11800' ,sum_max_payable='11800' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=161
UPDATE payment SET course_id='162' ,sum_all_cost='26120' ,sum_max_payable='26120' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=162
UPDATE payment SET course_id='163' ,sum_all_cost='0' ,sum_max_payable='0' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=163
UPDATE payment SET course_id='169' ,sum_all_cost='2400' ,sum_max_payable='2400' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=169
UPDATE payment SET course_id='171' ,sum_all_cost='0' ,sum_max_payable='0' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=171
UPDATE payment SET course_id='235' ,sum_all_cost='118600' ,sum_max_payable='118600' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=235
UPDATE payment SET course_id='246' ,sum_all_cost='12200' ,sum_max_payable='12200' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=246
UPDATE payment SET course_id='247' ,sum_all_cost='5900' ,sum_max_payable='5900' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=247
UPDATE payment SET course_id='248' ,sum_all_cost='0' ,sum_max_payable='0' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=248
UPDATE payment SET course_id='249' ,sum_all_cost='19800' ,sum_max_payable='19800' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=249
UPDATE payment SET course_id='296' ,sum_all_cost='18000' ,sum_max_payable='18000' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=296
UPDATE payment SET course_id='297' ,sum_all_cost='70800' ,sum_max_payable='70800' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=297
UPDATE payment SET course_id='338' ,sum_all_cost='144000' ,sum_max_payable='144000' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=338
UPDATE payment SET course_id='339' ,sum_all_cost='159600' ,sum_max_payable='159600' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=339
UPDATE payment SET course_id='340' ,sum_all_cost='140000' ,sum_max_payable='140000' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=340
UPDATE payment SET course_id='341' ,sum_all_cost='39250' ,sum_max_payable='39250' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=341
UPDATE payment SET course_id='342' ,sum_all_cost='30900' ,sum_max_payable='30900' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=342
UPDATE payment SET course_id='343' ,sum_all_cost='56000' ,sum_max_payable='56000' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=343
UPDATE payment SET course_id='344' ,sum_all_cost='60800' ,sum_max_payable='60800' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=344
UPDATE payment SET course_id='413' ,sum_all_cost='46800' ,sum_max_payable='46800' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=413
UPDATE payment SET course_id='441' ,sum_all_cost='0' ,sum_max_payable='0' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=441
UPDATE payment SET course_id='442' ,sum_all_cost='0' ,sum_max_payable='0' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=442
UPDATE payment SET course_id='443' ,sum_all_cost='0' ,sum_max_payable='0' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=443
UPDATE payment SET course_id='444' ,sum_all_cost='0' ,sum_max_payable='0' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=444
UPDATE payment SET course_id='450' ,sum_all_cost='78760' ,sum_max_payable='78760' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=450
UPDATE payment SET course_id='457' ,sum_all_cost='35000' ,sum_max_payable='35000' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=457
UPDATE payment SET course_id='460' ,sum_all_cost='1000' ,sum_max_payable='1000' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=460
UPDATE payment SET course_id='461' ,sum_all_cost='0' ,sum_max_payable='0' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=461
UPDATE payment SET course_id='462' ,sum_all_cost='5400' ,sum_max_payable='5400' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=462
UPDATE payment SET course_id='463' ,sum_all_cost='5400' ,sum_max_payable='5400' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=463
UPDATE payment SET course_id='464' ,sum_all_cost='32000' ,sum_max_payable='32000' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=464
UPDATE payment SET course_id='465' ,sum_all_cost='34750' ,sum_max_payable='34750' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=465
UPDATE payment SET course_id='466' ,sum_all_cost='39500' ,sum_max_payable='39500' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=466
UPDATE payment SET course_id='467' ,sum_all_cost='66200' ,sum_max_payable='66200' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=467
UPDATE payment SET course_id='468' ,sum_all_cost='12600' ,sum_max_payable='12600' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=468
UPDATE payment SET course_id='469' ,sum_all_cost='36900' ,sum_max_payable='36900' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=469
UPDATE payment SET course_id='470' ,sum_all_cost='73600' ,sum_max_payable='73600' ,sum_paid_cost='0' ,last_paid_date='2015/10/08 01:00:56' ,paid_round='0' ,status='0'  WHERE course_id=470
